Variety,Growernr_seeduser,Growernr_seedproducer,Year,Sensitivity,Ares,Mah,DefH,dk,GPS_coord,strains_1,strains_2,strains_3,strains_4,strains_5,strains_6,strains_7,strains_8,strains_9
HZ_3,Grower_342,Grower_94,2021,Tolerant,0.35,SE,E,0,186845-517865,0,0,0,0,0,0,0,0,0
HZ_17,Grower_134,Grower_61,2021,Susceptible,0.8,SE,SE,0,171064-580813,0,0,7,2,4,0,0,1,0
HZ_4,Grower_169,Grower_1,2022,Verysusceptible,5.0,SE,SE,0,188240-529882,0,0,2,0,1,0,1,6,0
HZ_22,Grower_172,Grower_88,2020,Tolerant,1.89,SE,SE,0,185677-529515,0,0,3,0,1,0,0,0,0
HZ_3,Grower_121,Grower_52,2021,Tolerant,1.0,SE,SE,0,172657-580086,0,0,0,0,0,0,0,0,0
HZ_20,Grower_41,Grower_8,2023,Tolerant,0.6,SE,A,0,241899-597596,0,0,3,0,3,0,0,1,0
HZ_10,Grower_37,Grower_102,2021,Tolerant,0.43,SE,SE,0,247431-606308,0,0,0,0,0,0,0,0,0
HZ_10,Grower_5,Grower_11,2023,Tolerant,0.77,SE,E,0,250593-600485,0,0,1,0,1,0,0,1,0
HZ_4,Grower_279,Grower_11,2022,Verysusceptible,2.2,SE,E,0,076114-393663,0,0,6,4,4,2,3,8,0
HZ_4,Grower_255,Grower_79,2020,Verysusceptible,3.0,SE,E,0,045796-371166,0,0,1,0,0,0,2,0,0
HZ_4,Grower_187,Grower_117,2019,Verysusceptible,2.0,E,A,1,058104-371755,0,0,6,2,2,0,0,0,0
HZ_24,Grower_244,Grower_40,2021,Tolerant,0.5,SE,A,0,049056-370746,0,0,7,4,4,0,0,1,1
HZ_17,Grower_35,Grower_99,2022,Susceptible,0.8,SE,A,1,246836-606408,0,0,5,2,4,0,0,4,0
HZ_85,Grower_114,Grower_217,2019,Tolerant,0.5,SE,A,0,170715-589336,0,0,0,0,0,0,0,0,0
HZ_36,Grower_101,Grower_53,2023,Tolerant,2.1,PB4,-,0,186936-596708,0,0,5,2,1,0,1,2,0
HZ_22,Grower_28,Grower_88,2021,Tolerant,0.99,SE,SE,0,246480-599114,0,0,3,1,1,0,0,0,0
HZ_13,Grower_111,Grower_22,2021,Tolerant,0.49,SE,SE,0,174287-588830,0,0,3,1,1,0,0,1,0
HZ_19,Grower_238,Grower_24,2019,Verysusceptible,2.25,SE,SE,0,059284-370501,0,0,8,8,5,0,0,0,0
HZ_3,Grower_330,Grower_52,2020,Tolerant,1.58,SE,SE,0,174670-589943,0,0,0,0,0,0,0,0,0
HZ_65,Grower_92,Grower_104,2021,Tolerant,0.4,SE,SE,0,191324-597854,0,0,4,4,2,0,0,0,0
HZ_24,Grower_37,Grower_24,2020,Tolerant,0.45,SE,SE,0,246943-606310,0,0,1,1,0,0,0,0,0
HZ_58,Grower_182,Grower_52,2021,Susceptible,1.1,E,E,0,190193-529076,0,0,6,1,2,0,0,1,0
HZ_5,Grower_108,Grower_33,2023,Susceptible,0.79,SE,SE,0,181164-584811,0,0,0,0,0,0,0,0,0
HZ_20,Grower_83,Grower_116,2020,Tolerant,2.0,SE,SE,0,194419-600167,0,0,1,1,0,0,0,0,0
HZ_58,Grower_183,Grower_93,2023,Susceptible,5.97,SE,E,0,189450-529573,0,0,0,0,0,0,0,0,0
HZ_20,Grower_105,Grower_29,2022,Tolerant,1.0,PB4,PB4,0,119154-565757,0,0,1,0,0,0,0,0,0
HZ_9,Grower_174,Grower_67,2022,Verysusceptible,0.54,SE,SE,0,040757-366433,0,0,6,7,1,0,0,4,0
HZ_3,Grower_11,Grower_53,2022,Tolerant,0.14,E,E,0,251231-602022,0,0,0,0,0,0,0,0,0
HZ_35,Grower_224,Grower_48,2023,Tolerant,0.96,SE,E,0,128020-535505,0,0,6,1,0,1,0,1,0
HZ_4,Grower_77,Grower_64,2020,Verysusceptible,1.4,SE,E,0,205478-600029,0,0,0,0,0,0,0,0,0
HZ_64,Grower_201,Grower_49,2021,Tolerant,2.6,SE,A,0,088839-402193,0,0,0,0,0,0,0,0,0
HZ_20,Grower_198,Grower_1,2020,Tolerant,0.77,SE,SE,0,116428-565219,0,0,7,1,3,0,0,0,0
HZ_3,Grower_90,Grower_53,2022,Tolerant,1.8,SE,E,0,198484-601755,0,0,6,2,0,0,0,7,0
HZ_14,Grower_259,Grower_7,2021,Susceptible,2.8,E,E,0,046178-359265,0,0,8,0,3,0,0,1,0
HZ_17,Grower_255,Grower_133,2020,Susceptible,3.9,SE,E,0,039579-366883,0,0,8,3,4,0,0,0,0
HZ_4,Grower_269,Grower_95,2019,Verysusceptible,3.5,SE,E,0,050300-417514,0,0,4,3,2,0,0,0,0
HZ_58,Grower_69,Grower_17,2021,Susceptible,1.1,E,A,0,226184-602357,0,0,6,5,5,0,6,6,0
HZ_43,Grower_20,Grower_68,2020,Tolerant,2.35,E,E,0,235106-602215,0,0,8,7,4,0,2,0,0
HZ_5,Grower_235,Grower_90,2021,Susceptible,0.5,SE,SE,0,124208-515118,0,0,0,0,0,0,0,0,0
HZ_17,Grower_43,Grower_22,2020,Susceptible,2.33,SE,SE,0,217049-595130,0,0,7,8,5,2,0,0,0
HZ_31,Grower_240,Grower_10,2019,Tolerant,2.3,SE,SE,0,028814-376567,0,0,1,0,0,0,0,0,0
HZ_4,Grower_162,Grower_82,2021,Verysusceptible,1.1,SE,SE,0,161856-491862,0,0,4,2,2,0,0,0,0
HZ_22,Grower_275,Grower_31,2020,Tolerant,2.1,SE,SE,0,085115-399476,0,0,0,0,0,0,0,0,0
HZ_3,Grower_91,Grower_65,2020,Tolerant,1.55,SE,A,0,197446-599527,0,0,3,0,1,0,0,0,0
HZ_20,Grower_71,Grower_1,2021,Tolerant,1.05,SE,SE,0,229429-604624,0,0,8,0,3,0,1,4,0
HZ_17,Grower_231,Grower_52,2020,Susceptible,0.43,SE,SE,0,122210-537449,0,0,8,1,3,0,0,0,0
HZ_4,Grower_279,Grower_1,2020,Verysusceptible,2.0,SE,A,0,074788-393587,0,0,7,2,4,0,6,0,0
HZ_48,Grower_113,Grower_61,2022,Verysusceptible,1.17,E,A,1,172767-586844,0,0,0,0,0,0,0,0,0
HZ_4,Grower_248,Grower_1,2021,Verysusceptible,2.57,SE,E,0,061103-368545,0,0,6,1,2,0,0,8,0
HZ_64,Grower_201,Grower_75,2021,Tolerant,2.4,SE,A,0,088839-402193,0,0,4,2,2,0,0,1,0
HZ_5,Grower_259,Grower_20,2023,Susceptible,2.1,SE,E,0,051714-361190,0,0,2,0,2,0,0,0,0
HZ_15,Grower_62,Grower_19,2019,Verysusceptible,0.85,E,E,0,215882-580277,0,0,8,8,5,0,0,0,0
HZ_5,Grower_284,Grower_83,2022,Susceptible,4.2,SE,SE,0,085559-401747,0,0,8,5,2,0,2,8,1
HZ_47,Grower_255,Grower_99,2019,Verysusceptible,2.55,E,A,0,039731-367380,0,0,7,6,4,0,2,0,0
HZ_17,Grower_106,Grower_23,2020,Susceptible,0.5,E,A,1,129217-532753,0,0,6,4,3,0,1,0,0
HZ_5,Grower_38,Grower_3,2023,Susceptible,1.2,SE,SE,0,248339-606118,0,0,0,0,0,0,0,0,0
HZ_17,Grower_102,Grower_58,2019,Susceptible,1.8,E,E,0,175600-582621,0,0,0,0,0,0,0,0,0
HZ_4,Grower_166,Grower_1,2021,Verysusceptible,1.0,SE,E,0,165684-499344,0,0,5,1,2,0,0,7,0
HZ_12,Grower_124,Grower_205,2019,Susceptible,1.1,SE,SE,0,159329-568479,0,0,8,6,6,2,0,0,0
HZ_39,Grower_202,Grower_74,2023,Tolerant,1.7,SE,E,1,119868-570230,0,0,0,0,1,0,0,1,0
HZ_65,Grower_117,Grower_198,2019,Tolerant,2.0,E,E,0,171392-591389,0,0,6,4,3,0,0,0,0
HZ_64,Grower_261,Grower_75,2021,Tolerant,1.7,SE,E,0,057608-412893,0,0,4,2,2,0,0,1,0
HZ_49,Grower_123,Grower_131,2022,Susceptible,1.2,E,E,0,170646-588304,0,0,0,0,0,0,0,0,0
HZ_17,Grower_104,Grower_58,2022,Susceptible,1.55,SE,SE,0,187102-597180,0,0,4,2,2,0,2,3,0
HZ_27,Grower_322,Grower_2,2019,Tolerant,0.56,SE,SE,0,200613-600682,0,0,0,0,0,0,1,0,0
HZ_24,Grower_197,Grower_24,2022,Tolerant,0.4,S,S,0,118005-564737,0,0,6,6,1,0,0,2,0
HZ_20,Grower_197,Grower_32,2021,Tolerant,0.9,PB4,PB4,0,118851-564008,0,0,6,3,4,0,0,1,1
HZ_39,Grower_141,Grower_92,2022,Tolerant,0.75,E,A,1,158774-580450,0,0,8,6,2,0,0,7,1
HZ_17,Grower_218,Grower_90,2023,Susceptible,0.4,PB4,PB4,0,117558-538409,0,0,0,0,0,0,0,0,0
HZ_3,Grower_114,Grower_42,2019,Tolerant,2.3,SE,SE,0,167877-587896,0,0,2,1,1,0,0,0,0
HZ_16,Grower_205,Grower_31,2019,Susceptible,1.1,SE,SE,0,121675-565541,0,0,3,1,1,0,0,0,0
HZ_22,Grower_280,Grower_88,2021,Tolerant,2.96,SE,SE,0,089205-401010,0,0,3,1,1,0,0,0,0
HZ_5,Grower_1,Grower_111,2022,Susceptible,1.6,SE,SE,0,249632-604407,0,0,1,0,1,0,0,2,0
HZ_46,Grower_161,Grower_3,2019,Susceptible,2.4,SE,A,0,175285-507941,0,0,3,0,1,0,0,0,0
HZ_16,Grower_282,Grower_8,2019,Susceptible,2.7,SE,AF,0,237737-435646,0,0,8,8,5,0,0,0,0
HZ_39,Grower_124,Grower_42,2022,Tolerant,3.6,E,AF,0,158869-568421,0,0,0,0,0,0,0,0,0
HZ_4,Grower_10,Grower_182,2020,Verysusceptible,3.56,E,A,0,261838-585284,0,0,1,0,0,0,0,0,0
HZ_11,Grower_127,Grower_220,2019,Tolerant,0.8,PB3,PB3,0,168377-583658,0,0,6,3,4,0,1,0,0
HZ_17,Grower_236,Grower_90,2020,Susceptible,0.6,SE,SE,0,137283-521883,0,0,3,0,1,0,0,0,0
HZ_80,Grower_175,Grower_58,2020,Verysusceptible,1.3,SE,A,1,185898-516949,0,0,0,0,0,0,0,0,0
HZ_39,Grower_295,Grower_36,2021,Tolerant,0.68,SE,A,1,234809-602653,0,0,7,3,5,0,1,7,0
HZ_37,Grower_65,Grower_44,2019,Tolerant,0.29,E,E,0,226668-603601,0,0,8,1,3,0,0,0,0
HZ_3,Grower_184,Grower_94,2019,Tolerant,2.0,SE,A,0,191172-526315,0,0,1,1,0,0,0,0,0
HZ_17,Grower_195,Grower_23,2019,Susceptible,0.4,E,E,0,117964-562049,0,0,7,6,4,0,0,0,0
HZ_20,Grower_255,Grower_2,2020,Tolerant,3.5,SE,E,0,040614-370813,0,0,2,1,1,0,0,0,0
HZ_20,Grower_164,Grower_82,2021,Tolerant,2.0,SE,SE,0,153052-483524,0,0,1,0,0,0,0,0,0
HZ_8,Grower_348,Grower_146,2021,Tolerant,1.6,SE,SE,0,205022-593298,0,0,2,1,1,0,0,0,0
HZ_5,Grower_133,Grower_42,2022,Susceptible,1.3,SE,SE,0,163632-579815,0,0,2,0,0,0,0,1,0
HZ_29,Grower_39,Grower_150,2019,Tolerant,1.6,SE,SE,0,245785-605130,0,0,1,0,0,0,0,0,0
HZ_3,Grower_359,Grower_33,2021,Tolerant,0.3,SE,A,0,069542-436426,0,0,2,0,1,0,0,2,0
HZ_58,Grower_188,Grower_93,2022,Susceptible,0.4,SE,SE,0,169217-523429,0,0,6,2,4,0,0,2,0
HZ_64,Grower_201,Grower_49,2020,Tolerant,3.1,SE,E,0,093403-402283,0,0,6,0,2,0,0,0,0
HZ_2,Grower_282,Grower_2,2023,Tolerant,0.34,SE,SE,0,227028-434647,0,0,4,0,1,0,0,0,0
HZ_5,Grower_134,Grower_42,2021,Susceptible,1.7,SE,SE,0,170432-581669,0,0,3,0,1,0,0,1,0
HZ_20,Grower_450,Grower_28,2019,Tolerant,1.36,SE,A,0,131121-543835,0,0,8,7,4,0,0,0,0
HZ_20,Grower_186,Grower_82,2021,Tolerant,1.5,SE,SE,0,175578-517063,0,0,1,0,0,0,0,0,0
HZ_20,Grower_236,Grower_49,2020,Tolerant,4.1,E,A,0,143436-526005,0,0,8,2,3,0,0,0,0
HZ_4,Grower_271,Grower_1,2023,Verysusceptible,2.35,S,E,1,092893-403141,0,0,0,0,0,0,0,0,0
HZ_5,Grower_292,Grower_20,2022,Susceptible,1.15,SE,SE,0,240972-599187,0,0,2,0,1,0,0,0,0
HZ_55,Grower_7,Grower_114,2021,Tolerant,0.98,SE,SE,0,265142-591038,0,0,0,0,0,0,0,5,0
HZ_39,Grower_75,Grower_36,2023,Tolerant,1.45,SE,SE,0,206407-591252,0,0,0,0,0,0,0,0,0
HZ_4,Grower_406,Grower_11,2019,Verysusceptible,1.84,E,A,0,276107-583562,0,0,5,3,3,0,4,0,0
HZ_36,Grower_90,Grower_163,2020,Tolerant,2.1,PB4,PB4,0,197777-600994,0,0,0,0,0,0,0,0,0
HZ_55,Grower_293,Grower_64,2020,Tolerant,0.7,E,E,0,234577-604200,0,0,0,0,0,0,0,0,0
HZ_3,Grower_130,Grower_61,2020,Tolerant,0.85,SE,-,0,166780-583560,0,0,1,0,0,0,0,0,0
HZ_13,Grower_111,Grower_17,2023,Tolerant,0.4,SE,SE,0,173649-590944,0,0,0,0,0,0,0,0,0
HZ_3,Grower_228,Grower_58,2021,Tolerant,0.4,SE,SE,0,124437-538127,0,0,8,1,3,0,0,3,0
HZ_10,Grower_259,Grower_17,2022,Tolerant,1.1,SE,A,0,051503-361031,0,0,0,0,0,0,0,0,0
HZ_7,Grower_319,Grower_102,2019,Tolerant,0.55,SE,SE,0,211666-589993,0,0,0,0,0,0,0,0,0
HZ_3,Grower_71,Grower_1,2022,Tolerant,4.22,SE,SE,0,228903-603045,0,0,0,0,0,0,0,0,0
HZ_17,Grower_200,Grower_47,2019,Susceptible,0.68,SE,SE,0,121969-570147,0,0,8,8,5,0,0,0,0
HZ_22,Grower_358,Grower_88,2021,Tolerant,1.75,SE,SE,0,101701-407122,0,0,3,1,1,0,0,0,0
HZ_24,Grower_294,Grower_24,2021,Tolerant,1.08,SE,SE,0,238317-605706,0,0,1,0,0,0,0,1,0
HZ_42,Grower_113,Grower_66,2020,Verysusceptible,0.5,E,E,0,176326-592255,0,0,8,6,6,0,1,0,0
HZ_53,Grower_143,Grower_36,2023,Tolerant,1.82,SE,E,0,175249-517917,0,0,0,0,0,0,0,0,0
HZ_24,Grower_37,Grower_24,2021,Tolerant,0.97,SE,SE,0,247732-607137,0,0,1,0,0,0,0,1,0
HZ_17,Grower_322,Grower_53,2021,Susceptible,0.56,SE,SE,0,201245-600442,0,0,0,0,0,0,0,0,0
HZ_51,Grower_50,Grower_12,2021,Susceptible,1.0,PB4,-,0,213407-592994,0,0,0,0,0,0,0,0,0
HZ_3,Grower_148,Grower_82,2019,Tolerant,0.5,SE,SE,0,176305-529430,0,0,1,1,0,0,0,0,0
HZ_16,Grower_282,Grower_1,2021,Susceptible,1.97,SE,E,0,237559-436026,0,0,8,6,6,0,0,3,1
HZ_20,Grower_186,Grower_82,2022,Tolerant,1.35,SE,SE,0,175641-517364,0,0,2,1,1,1,0,1,1
HZ_56,Grower_168,Grower_49,2021,Susceptible,1.7,SE,AF,1,191264-528799,0,0,7,4,4,1,0,6,0
HZ_17,Grower_83,Grower_42,2019,Susceptible,3.98,S,A,1,196319-598193,0,0,8,1,3,0,0,0,0
HZ_3,Grower_44,Grower_36,2019,Tolerant,0.62,SE,SE,0,231035-600649,0,0,2,1,1,0,0,0,0
HZ_20,Grower_218,Grower_1,2020,Tolerant,0.24,SE,A,0,117558-538412,0,0,7,1,3,0,0,0,0
HZ_3,Grower_71,Grower_2,2019,Tolerant,2.8,SE,SE,0,228749-602715,0,0,1,1,0,0,0,0,0
HZ_4,Grower_278,Grower_64,2019,Verysusceptible,5.0,SE,E,0,086652-398416,0,0,7,4,4,1,1,0,0
HZ_16,Grower_206,Grower_49,2022,Susceptible,1.6,E,E,0,113412-564492,0,0,8,4,2,2,0,7,0
HZ_16,Grower_196,Grower_32,2021,Susceptible,1.38,SE,SE,0,118434-569705,0,0,5,4,3,0,0,2,0
HZ_20,Grower_41,Grower_55,2019,Tolerant,2.2,SE,A,0,242312-600413,0,0,4,0,1,0,0,0,0
HZ_17,Grower_206,Grower_23,2022,Susceptible,0.95,E,E,0,115289-567914,0,0,7,1,2,2,0,0,0
HZ_22,Grower_19,Grower_153,2019,Tolerant,0.93,SE,SE,0,242285-602542,0,0,3,2,1,0,0,0,0
HZ_65,Grower_211,Grower_153,2019,Tolerant,0.57,SE,A,0,131768-542873,0,0,1,0,0,0,0,0,0
HZ_17,Grower_104,Grower_156,2020,Susceptible,3.0,SE,A,1,180161-592626,0,0,0,0,0,0,0,0,0
HZ_17,Grower_199,Grower_68,2021,Susceptible,2.22,E,AF,1,117050-562456,0,0,7,8,5,0,8,8,0
HZ_27,Grower_206,Grower_2,2022,Tolerant,0.95,SE,SE,0,115159-568404,0,0,4,1,2,0,0,1,1
HZ_20,Grower_114,Grower_116,2022,Tolerant,0.7,E,E,0,175044-592201,0,0,6,3,3,1,1,5,1
HZ_13,Grower_201,Grower_46,2019,Tolerant,4.0,SE,SE,0,090931-403846,0,0,4,3,2,0,0,0,0
HZ_49,Grower_219,Grower_133,2019,Susceptible,1.35,SE,SE,0,122211-536594,0,0,1,0,0,0,0,0,0
HZ_54,Grower_287,Grower_1,2021,Verysusceptible,0.25,SE,A,1,247848-606554,0,0,7,6,4,0,3,7,0
HZ_39,Grower_77,Grower_36,2020,Tolerant,0.73,SE,SE,0,205847-600385,0,0,8,0,3,0,1,0,0
HZ_17,Grower_322,Grower_68,2020,Susceptible,2.11,SE,SE,0,201669-601466,0,0,8,7,4,0,0,0,0
HZ_20,Grower_200,Grower_83,2019,Tolerant,0.68,SE,SE,0,121694-567961,0,0,8,6,6,1,0,0,0
HZ_22,Grower_275,Grower_82,2021,Tolerant,2.48,SE,SE,0,086205-399156,0,0,4,0,1,0,0,1,0
HZ_4,Grower_161,Grower_122,2019,Verysusceptible,0.74,E,A,0,170298-504610,0,0,8,6,6,0,6,0,0
HZ_3,Grower_6,Grower_39,2019,Tolerant,1.3,SE,A,0,266050-591471,0,0,1,1,0,0,0,0,0
HZ_20,Grower_294,Grower_117,2019,Tolerant,1.07,SE,A,0,238138-606388,0,0,4,3,2,0,0,0,0
HZ_5,Grower_134,Grower_42,2020,Susceptible,3.3,E,A,0,174281-582640,0,0,3,0,1,0,0,0,0
HZ_12,Grower_136,Grower_61,2022,Susceptible,1.45,SE,SE,0,167469-582205,0,0,8,0,0,2,8,8,1
HZ_4,Grower_128,Grower_61,2023,Verysusceptible,0.75,SE,SE,0,170521-581775,0,0,5,0,0,1,0,7,0
HZ_5,Grower_88,Grower_8,2022,Susceptible,0.64,SE,SE,0,217511-588160,0,0,0,0,0,0,0,1,0
HZ_3,Grower_205,Grower_65,2022,Tolerant,3.2,E,E,0,118575-565812,0,0,3,0,1,0,0,5,0
HZ_24,Grower_187,Grower_208,2019,Tolerant,1.1,SE,E,0,062821-373152,0,0,4,2,2,0,0,0,0
HZ_20,Grower_285,Grower_200,2019,Tolerant,1.07,E,E,0,247001-602628,0,0,0,0,0,0,0,0,0
HZ_20,Grower_332,Grower_163,2019,Tolerant,0.9,SE,-,0,178542-592381,0,0,8,1,3,0,2,0,0
HZ_20,Grower_155,Grower_71,2021,Tolerant,2.4,E,A,0,171983-524513,0,0,1,0,0,0,0,0,0
HZ_4,Grower_278,Grower_90,2021,Verysusceptible,4.5,SE,SE,0,086425-398395,0,0,0,0,0,0,0,0,0
HZ_12,Grower_262,Grower_36,2023,Susceptible,1.4,SE,A,0,022175-379514,0,0,4,2,4,1,1,4,0
HZ_47,Grower_275,Grower_99,2019,Verysusceptible,3.25,SE,A,0,085851-399048,0,0,5,5,1,0,0,0,0
HZ_35,Grower_143,Grower_48,2023,Tolerant,1.31,S,E,0,179294-527241,0,0,6,2,3,2,6,6,0
HZ_3,Grower_53,Grower_49,2019,Tolerant,3.0,E,A,0,219176-590140,0,0,2,2,0,0,0,0,0
HZ_5,Grower_41,Grower_3,2020,Susceptible,0.85,SE,SE,0,245504-597834,0,0,0,0,0,0,0,0,0
HZ_8,Grower_364,Grower_146,2021,Tolerant,1.26,SE,SE,0,244651-602980,0,0,2,1,1,0,0,0,0
HZ_47,Grower_275,Grower_42,2020,Verysusceptible,1.85,SE,A,0,076601-400999,0,0,4,0,1,0,0,0,0
HZ_20,Grower_286,Grower_58,2022,Tolerant,1.78,SE,SE,0,255141-597957,0,0,1,0,0,0,0,0,0
HZ_3,Grower_114,Grower_40,2022,Tolerant,2.3,SE,SE,0,175491-591054,0,0,0,0,0,0,0,1,0
HZ_17,Grower_205,Grower_23,2020,Susceptible,1.1,SE,SE,0,120155-568375,0,0,6,4,3,0,1,0,0
HZ_51,Grower_174,Grower_132,2019,Susceptible,3.12,SE,SE,0,041759-371931,0,0,0,0,0,0,0,0,0
HZ_3,Grower_100,Grower_163,2019,Tolerant,1.32,SE,A,0,179234-587616,0,0,0,0,0,0,0,0,0
HZ_17,Grower_381,Grower_58,2021,Susceptible,0.85,S,S,0,190146-599835,0,0,8,6,6,0,0,3,0
HZ_20,Grower_91,Grower_116,2020,Tolerant,1.42,SE,E,0,197415-600360,0,0,2,1,1,0,0,0,0
HZ_20,Grower_41,Grower_112,2021,Tolerant,0.8,SE,SE,0,241708-597169,0,0,8,2,3,0,0,3,0
HZ_4,Grower_259,Grower_9,2020,Verysusceptible,4.45,E,E,0,048543-362819,0,0,6,0,2,0,0,0,0
HZ_37,Grower_65,Grower_44,2019,Tolerant,0.2,E,E,0,227202-604429,0,0,8,1,3,0,0,0,0
HZ_42,Grower_93,Grower_66,2021,Verysusceptible,0.5,E,E,0,173491-591795,0,0,4,1,1,0,0,4,0
HZ_38,Grower_122,Grower_40,2021,Tolerant,1.26,SE,-,0,174916-589672,0,0,2,0,1,0,0,1,1
HZ_2,Grower_277,Grower_107,2019,Tolerant,4.9,SE,A,0,075347-392565,0,0,0,0,0,0,0,0,0
HZ_78,Grower_209,Grower_211,2019,Susceptible,1.56,PB3,E,0,132233-543645,0,0,4,0,1,0,0,0,0
HZ_17,Grower_56,Grower_99,2022,Susceptible,2.27,E,E,0,225508-592368,0,0,5,2,4,0,0,4,0
HZ_4,Grower_95,Grower_205,2019,Verysusceptible,1.3,E,E,0,183571-595226,0,0,8,1,3,0,0,0,0
HZ_21,Grower_53,Grower_28,2019,Verysusceptible,0.8,E,E,0,219190-590170,0,0,1,0,0,0,0,0,0
HZ_8,Grower_230,Grower_146,2021,Tolerant,1.5,SE,-,0,125223-535874,0,0,2,1,1,0,0,0,0
HZ_32,Grower_186,Grower_44,2019,Susceptible,0.75,SE,SE,0,175571-517334,0,0,4,4,2,0,0,0,0
HZ_21,Grower_376,Grower_11,2021,Verysusceptible,0.3,SE,SE,0,205600-594117,0,0,6,5,5,0,0,6,1
HZ_3,Grower_111,Grower_40,2022,Tolerant,1.02,SE,SE,0,173820-591093,0,0,4,1,2,0,0,3,0
HZ_20,Grower_86,Grower_116,2020,Tolerant,2.3,SE,SE,0,196128-600967,0,0,0,0,0,0,0,0,0
HZ_55,Grower_376,Grower_64,2020,Tolerant,0.35,PB4,SE,0,204388-593260,0,0,0,0,0,0,0,0,0
HZ_17,Grower_35,Grower_12,2020,Susceptible,0.6,SE,SE,0,245635-606196,0,0,5,1,2,0,0,0,0
HZ_70,Grower_275,Grower_32,2020,Tolerant,2.4,SE,E,0,102342-411251,0,0,2,2,0,0,0,0,0
HZ_51,Grower_50,Grower_12,2021,Susceptible,1.05,E,AF,1,213407-592994,0,0,0,0,0,0,0,0,0
HZ_4,Grower_166,Grower_11,2021,Verysusceptible,4.5,E,E,0,165684-499344,0,0,6,2,2,0,0,4,0
HZ_3,Grower_119,Grower_40,2020,Tolerant,2.0,E,E,0,174512-583078,0,0,4,1,1,0,1,0,0
HZ_20,Grower_228,Grower_1,2020,Tolerant,5.5,E,E,0,124954-539002,0,0,7,1,3,0,0,0,0
HZ_11,Grower_139,Grower_12,2022,Tolerant,1.0,SE,SE,0,161414-581650,0,0,0,0,0,0,0,0,0
HZ_39,Grower_206,Grower_36,2023,Tolerant,1.15,E,E,0,116076-568684,0,0,0,0,0,0,0,0,0
HZ_36,Grower_109,Grower_11,2023,Tolerant,0.69,SE,E,0,177104-589202,0,0,8,1,4,0,0,3,0
HZ_3,Grower_327,Grower_33,2019,Tolerant,0.89,SE,SE,0,188802-596569,0,0,7,2,4,0,0,0,0
HZ_19,Grower_238,Grower_24,2019,Verysusceptible,0.92,SE,E,1,057240-364173,0,0,8,8,5,0,0,0,0
HZ_8,Grower_191,Grower_28,2022,Tolerant,1.46,SE,SE,0,160654-582043,0,0,7,3,1,1,0,8,0
HZ_20,Grower_223,Grower_1,2022,Tolerant,0.51,SE,SE,0,120311-538233,0,0,3,1,1,0,1,4,0
HZ_20,Grower_189,Grower_82,2022,Tolerant,1.5,E,E,0,174928-519537,0,0,2,1,1,1,0,1,1
HZ_84,Grower_375,Grower_112,2019,Tolerant,0.9,SE,SE,0,224880-594843,0,0,5,2,2,0,0,0,0
HZ_37,Grower_402,Grower_44,2020,Tolerant,4.0,SE,SE,0,075318-403456,0,0,8,1,3,0,0,0,0
HZ_55,Grower_320,Grower_31,2021,Tolerant,2.35,PB4,A,0,209842-592566,0,0,8,3,4,0,0,3,0
HZ_5,Grower_108,Grower_33,2019,Susceptible,1.39,SE,A,0,181310-582359,0,0,3,1,1,0,0,0,0
HZ_4,Grower_132,Grower_61,2020,Verysusceptible,1.35,SE,B,1,159970-569746,0,0,5,0,2,1,0,0,0
HZ_20,Grower_40,Grower_2,2020,Tolerant,0.45,SE,E,0,247252-604738,0,0,8,2,3,1,1,0,0
HZ_43,Grower_91,Grower_18,2020,Tolerant,0.55,SE,SE,0,196717-599133,0,0,2,1,1,0,0,0,0
HZ_20,Grower_204,Grower_32,2020,Tolerant,3.2,E,E,0,120326-566267,0,0,8,8,5,0,4,0,0
HZ_51,Grower_248,Grower_12,2021,Susceptible,2.28,SE,SE,0,060312-372494,0,0,8,0,3,0,2,4,0
HZ_4,Grower_93,Grower_61,2020,Verysusceptible,0.63,SE,E,0,180168-592966,0,0,5,0,2,1,0,0,0
HZ_17,Grower_275,Grower_42,2023,Susceptible,1.09,SE,E,0,083314-401519,0,0,0,0,0,0,0,0,0
HZ_17,Grower_196,Grower_83,2022,Susceptible,0.63,SE,SE,0,120117-567738,0,0,8,4,8,4,0,6,0
HZ_29,Grower_105,Grower_112,2022,Tolerant,1.0,PB4,PB4,0,122126-567961,0,0,2,2,1,0,0,4,0
HZ_3,Grower_197,Grower_83,2023,Tolerant,0.9,PB4,SE,0,118981-564199,0,0,4,0,0,0,0,7,0
HZ_55,Grower_362,Grower_31,2021,Tolerant,1.81,SE,E,0,239521-601929,0,0,0,0,0,0,0,0,0
HZ_17,Grower_83,Grower_52,2022,Susceptible,2.0,SE,SE,0,196203-597543,0,0,4,0,2,0,0,0,0
HZ_55,Grower_376,Grower_114,2021,Tolerant,1.05,SE,SE,0,205600-594117,0,0,0,0,0,0,0,5,0
HZ_50,Grower_327,Grower_42,2021,Tolerant,0.42,PB4,PB4,0,188551-596911,0,0,0,0,0,0,0,0,0
HZ_5,Grower_4,Grower_47,2021,Susceptible,0.45,E,E,0,246928-601945,0,0,1,1,0,0,0,1,0
HZ_3,Grower_217,Grower_48,2023,Tolerant,0.85,SE,E,0,119370-541421,0,0,1,0,0,0,0,0,0
